id,type,modified,institutionCode,collectionCode,basisOfRecord,occurrenceID,catalogNumber,occurrenceRemarks,recordNumber,recordedBy,lifeStage,reproductiveCondition,establishmentMeans,occurrenceStatus,preparations,associatedSequences,associatedTaxa,previousIdentifications,eventDate,verbatimEventDate,habitat,eventRemarks,continent,waterBody,islandGroup,island,country,countryCode,stateProvince,county,locality,verbatimLocality,verbatimElevation,minimumElevationInMeters,maximumElevationInMeters,verbatimDepth,minimumDepthInMeters,maximumDepthInMeters,locationRemarks,verbatimCoordinates,verbatimLatitude,verbatimLongitude,verbatimCoordinateSystem,verbatimSRS,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,coordinatePrecision,georeferencedBy,georeferencedDate,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,identificationID,identifiedBy,dateIdentified,identificationRemarks,identificationQualifier,typeStatus,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,scientificNameAuthorship,nomenclaturalStatus
NSW:NSW:NSW 836,PhysicalObject,2013-10-18 11:33:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 836,NSW 836,,,"Anderson, R.H.",,fruit,native,Present,sheet,,,,1945-10-21,,,,,,,,Australia,,New South Wales,,St Ives (Tumbledown Dick Road),St Ives (Tumbledown Dick Road),,,,,,,,"33,42,,S,151,01,,E,",,,,,-33.7,151.02,,10000.0,,,,,,,,,,,,,,Angophora crassifolia (G.J.Leach) L.A.S.Johnson & K.D.Hill,,,,,Myrtaceae,Angophora,crassifolia,,,(G.J.Leach) L.A.S.Johnson & K.D.Hill,
NSW:NSW:NSW 3984,PhysicalObject,2016-11-15 11:56:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 3984,NSW 3984,"Tree 30 ft [9.1 m] high, GBH 4 ft [1.2 m], full rough bark.",NSW 3984,"Constable, E.F.",,fruit,native,Present,sheet,,,,1947-07-24,,Sandy loam over shale.,,,,,,Australia,,New South Wales,Castlereagh State Forest,Windsor.,Windsor.,,,,,,,,"33,37,,S,150,49,,E,",,,,,-33.62,150.82,,10000.0,,,,,,,,,,,,,,Angophora bakeri E.C.Hall,,,,,Myrtaceae,Angophora,bakeri,,,E.C.Hall,
NSW:NSW:NSW 4005,PhysicalObject,2016-11-15 11:56:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 4005,NSW 4005,,NSW 4005,"Constable, E.F.",,fruit,native,Present,sheet,,,,1947-05-16,,,,,,,,Australia,,New South Wales,,"Coxs Road, Roseberry","Coxs Road, Roseberry",,,,,,,,"28,29,,S,152,55,,E,",,,,,-28.48,152.92,,10000.0,,,,,,,,,,,,,,Angophora subvelutina F.Muell.,,,,,Myrtaceae,Angophora,subvelutina,,,F.Muell.,
NSW:NSW:NSW 334608,PhysicalObject,2019-03-29 14:17:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 334608,NSW 334608,"End of spur: 32.46'08"" / 151.11'30"", [grid ref] 310730. Saddle: 32.46'08"" / 151.12'15"" [grid ref] 316730].",,"Tame, T.M.",,fruit,native,Present,sheet,,,,,,,,,,,,Australia,,New South Wales,,[c. 12 km E of Broke],[c. 12 km E of Broke],,,,,,,,"32,46,,S,151,13,,E,",,,,,-32.77,151.22,,1000.0,,,,,,,,,"Hill, K.D.",1995-11,,,,Angophora euryphylla (L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,,,,,Myrtaceae,Angophora,euryphylla,,,(L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,
NSW:NSW:NSW 16381,PhysicalObject,2019-03-29 10:27:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 16381,NSW 16381,"Tree 50-60 ft [15.2-18.2 m]. Leaves narrow, bark rough.",,"Johnson, L.A.S.",,fruit | sterile,,Present,sheet,,,,1950-08-15,,"Sandstone, near creek.",,,,,,Australia,,New South Wales,,7 miles [11.2 km] N of Ulan (1/2 mile [0.8 km] E of road),7 miles [11.2 km] N of Ulan (1/2 mile [0.8 km] E of road),,366.0,366.0,,,,,"32,11,,S,149,43,,E,",,,,,-32.18,149.72,,10000.0,,,,,,,,,,,,,,Angophora jungens,,,,,Myrtaceae,Angophora,jungens,,,,
NSW:NSW:NSW 16424,PhysicalObject,2019-03-29 10:27:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 16424,NSW 16424,Angophora from stump. See also specimen A. aff. bakeri. These & all intergrades occur.,,"Johnson, L.A.S.",,sterile,,Present,sheet,,,,1950-08-18,,Sandstone.,,,,,,Australia,,New South Wales,,Boomley - Caratel,Boomley - Caratel,,442.0,442.0,,,,,"32,02,,S,149,06,,E,",,,,,-32.03,149.1,,25000.0,,,,,,,,,,,,,,Angophora jungens,,,,,Myrtaceae,Angophora,jungens,,,,
NSW:NSW:NSW 16426,PhysicalObject,2019-03-29 10:27:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 16426,NSW 16426,Angophora juveniles from stump. These and broader forms occur together on the sandstone ridges here.,,"Johnson, L.A.S.",,sterile,,Present,sheet,,,,1950-08-18,,Sandstone.,,,,,,Australia,,New South Wales,,Boomley - Caratel,Boomley - Caratel,,442.0,442.0,,,,,"32,02,,S,149,06,,E,",,,,,-32.03,149.1,,25000.0,,,,,,,,,,,,,,Angophora jungens,,,,,Myrtaceae,Angophora,jungens,,,,
NSW:NSW:NSW 48293,PhysicalObject,2019-03-29 14:17:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 48293,NSW 48293,Trees to 50 ft [15.1 m]. Smooth pinkish bark.,,"Johnson, L.A.S.",,fruit | sterile,,Present,sheet,,,,1959-09-28,,"Locally co-dominant on sandstone hillsides with Eucalyptus sparsifolia, E. eximia, E. gummifera. Alt 1200 ft.",,,,,,Australia,,New South Wales,,"South of Putty, at 55 m [88.6 km] from Windsor","South of Putty, at 55 m [88.6 km] from Windsor",,366.0,366.0,,,,,"33,12,,S,150,41,,E,",,,,,-33.2,150.68,,10000.0,,,,,,,,,,,,,,Angophora euryphylla (L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,,,,,Myrtaceae,Angophora,euryphylla,,,(L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,
NSW:NSW:NSW 127674,PhysicalObject,2019-03-29 14:17:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 127674,NSW 127674,Trees to 18 m.,,"Johnson, L.A.S.",,flowers | fruit,,Present,sheet,,,,1965-11-14,,Co-dominant with Eucalyptus punctata & E. oblonga in dry sclerophyll forest on ridge. Alt. 1400 ft.,,,,,,Australia,,New South Wales,,"1 mile [1.6 km] north of Gibb's Long Swamp, north-northwest of Putty","1 mile [1.6 km] north of Gibb's Long Swamp, north-northwest of Putty",,426.0,426.0,,,,,"32,52,,S,150,39,,E,",,,,,-32.87,150.65,,10000.0,,,,,,,,,,,,,,Angophora euryphylla (L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,,,,,Myrtaceae,Angophora,euryphylla,,,(L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,
NSW:NSW:NSW 143442,PhysicalObject,2019-03-29 10:27:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 143442,NSW 143442,"Small tree about 6"" [0.15 m] diam.",,"Garden, J.",,fruit,native,Present,sheet,,,,1949-10-16,,Almost a pure stand on a small area on sandstone hill in scrub.,,,,,,Australia,,New South Wales,,Cobbora,Cobbora,,,,,,,,"32,03,,S,149,15,,E,",,,,,-32.05,149.25,,10000.0,,,,,,,,,,,,,,Angophora jungens,,,,,Myrtaceae,Angophora,jungens,,,,
NSW:NSW:NSW 143541,PhysicalObject,2019-03-06 11:43:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 143541,NSW 143541,,,"Clarke, H.D.",,fruit,native,Present,sheet,,,,1895-11,,,,,,,,Australia,,New South Wales,,Georges River.,Georges River.,,,,,,,,"34,03,,S,151,03,,E,",,,,,-34.05,151.05,,10000.0,,,,,,,,,,,,,,Angophora costata (Gaertn.) Britten,,,,,Myrtaceae,Angophora,costata,,,(Gaertn.) Britten,
NSW:NSW:NSW 143545,PhysicalObject,2019-01-14 17:09:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 143545,NSW 143545,,5428,"Morrison, A.",,fruit,native,Present,sheet,,,,1896-10-17,,,,,,,,Australia,,New South Wales,[Royal] National Park,Sydney.,Sydney.,,,,,,,,"34,08,,S,151,04,,E,",,,,,-34.13,151.07,,10000.0,,,,,,,,,,,,,,Angophora costata (Gaertn.) Britten,,,,,Myrtaceae,Angophora,costata,,,(Gaertn.) Britten,
NSW:NSW:NSW 143577,PhysicalObject,2019-04-23 13:01:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 143577,NSW 143577,[Probably part of a variable population of A. bakeri [crassifolia] x hispida. - D.F. Blaxell],,"Blakely, W.F.",,,native,Present,sheet,,,,1936-07-18,,,,,,,,Australia,,New South Wales,,1 mile [1.61 km] SE of Killara Railway Station,1 mile [1.61 km] SE of Killara Railway Station,,,,,,,,"33,47,,S,151,10,,E,",,,,,-33.78,151.17,,10000.0,,,,,,,,,,,,,,Angophora crassifolia (G.J.Leach) L.A.S.Johnson & K.D.Hill,,,,,Myrtaceae,Angophora,crassifolia,,,(G.J.Leach) L.A.S.Johnson & K.D.Hill,
NSW:NSW:NSW 143616,PhysicalObject,2019-03-29 14:17:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 143616,NSW 143616,"Locally frequent. Smooth, pink-barked tree to 70ft [21.3 m]. Typical in habit but broad leaved.",,"Johnson, L.A.S.",,,,Present,sheet,,,,1957-05-19,,Uniform here. In a belt on sandstone slopes with Eucalyptus eximia. c. 1000'.,,,,,,Australia,,New South Wales,,W of Howe's Mtn (on road N of Howe's Valley),W of Howe's Mtn (on road N of Howe's Valley),,305.0,305.0,,,,,"32,49,,S,150,57,,E,",,,,,-32.82,150.95,,10000.0,,,,,,,,,,,,,,Angophora euryphylla (L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,,,,,Myrtaceae,Angophora,euryphylla,,,(L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,
NSW:NSW:NSW 143617,PhysicalObject,2019-03-29 14:17:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 143617,NSW 143617,"Common. Height usually about 40' [21.2 m]. Cinnamon-coloured bark. Leaves from several trees, some from coppice shoots.",6622,"Story, R.",,fruit,native,Present,sheet,,,,1959-09-01,,On N facing slope of side valley.,,,,,,Australia,,New South Wales,,Wollombi,Wollombi,,,,,,,,"32,56,,S,151,09,,E,",,,,,-32.93,151.15,,10000.0,,,,,,,,,,,,,,Angophora euryphylla (L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,,,,,Myrtaceae,Angophora,euryphylla,,,(L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,
NSW:NSW:NSW 143618,PhysicalObject,2019-03-29 14:17:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 143618,NSW 143618,"Common, smooth pink barked, gnarled tree to 50 ft [15.2 m]. All trees here of this form.",,"Johnson, L.A.S.",,fruit,,Present,sheet,,,,1959-11-24,,"On steep shaly sandstone hillside, N aspect. With Eucalyptus puncatata, E. agglomerata. Alt. 1000 ft.",,,,,,Australia,,New South Wales,,"Near head of Wattagan [Watagan] Ck, c. 6 m [9.7 km] E of Wattagan [Watagan] (i.e. c. 15 m [24.2 km] direct S of Cessnock)","Near head of Wattagan [Watagan] Ck, c. 6 m [9.7 km] E of Wattagan [Watagan] (i.e. c. 15 m [24.2 km] direct S of Cessnock)",,304.0,304.0,,,,,"33,03,,S,151,20,,E,",,,,,-33.05,151.33,,10000.0,,,,,,,,,,,,,,Angophora euryphylla (L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,,,,,Myrtaceae,Angophora,euryphylla,,,(L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,
NSW:NSW:NSW 143619,PhysicalObject,2019-03-29 14:17:00.0,NSW,NSW,PreservedSpecimen,NSW:NSW:NSW 143619,NSW 143619,Pink-barked tree to 25 m. Broad-leaved. [Sucker growth from large tree.],,"Johnson, L.A.S.",,fruit | sterile,,Present,sheet,,,,1965-10-17,,"Head of gully towards Mangrove Ck. Tall forest (semi-wet sclerophyll) with Eucalyptus deanei, E. punctata, E. piperita.",,,,,,Australia,,New South Wales,,"Sampson's Pass, Judge Dowling Range, Old North Road (i.e. 8 miles [12.9 km] west-northwest of Kulnura)","Sampson's Pass, Judge Dowling Range, Old North Road (i.e. 8 miles [12.9 km] west-northwest of Kulnura)",,225.0,225.0,,,,,"33,08,,S,151,09,,E,",,,,,-33.13,151.15,,10000.0,,,,,,,,,,,,,,Angophora euryphylla (L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,,,,,Myrtaceae,Angophora,euryphylla,,,(L.A.S.Johnson ex G.J.Leach) L.A.S.Johnson & K.D.Hill,
